familly;genus;species;commercial name;id;a;j;b;c;d;e;f;i;h;g;k;Reference;DOI;
Malvaceae;Sterculia;rhinopetala;Lotofa;Sterculia rhinopetala;0,84;5,6;0,68;10;5;2;26;72;133;18670;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707067;
Malvaceae;Tarrietla;-;Niangon;Tarrietla sp.;0,7;3,8;0,45;8,8;4,2;2,1;32;55;103;14430;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707068;
Lamiaceae;Tectona;grandis;Teck;Tectona grandis;0,67;4,2;0,34;4,7;2,6;1,8;24;56;98;13740;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707069;
Combretaceae;Terminalia;superba;Fraké;Terminalia superba;0,54;2,4;0,42;6,1;4,3;1,4;28;47;80;11750;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707070;
Combretaceae;Terminalia;ivorencis;Framiré;Terminalia ivorensis;0,5;1,9;0,37;5,2;3,6;1,4;27;44;71;11350;2,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707071;
Ochnaceae;Testula;gabonensis;Izombe;Testula gabonensis;0,72;5,2;0,48;7;4;1,8;25;61;100;13090;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707072;
Caesalpiniaceae;Tetraberlinia;-;Ekaba;Tetraberlinia sp.;0,62;3;0,5;7,8;4,1;1,9;27;56;90;13760;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707073;
Sapotaceae;Tieghemella;-;Makore;Tieghemella sp.;0,69;4;0,48;7,3;5,6;1,3;28;59;98;13850;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707074;
Malvaceae;Triplochiton;scleroxylon;Ayous;Triplochiton scleroxylon;0,38;1,1;0,36;5;2,9;1,7;29;30;52;7260;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707075;
Meliaceae;Turraeanthus;africanus;Avodire;Turraeanthus africanus;0,58;2,7;0,36;6,6;3,8;1,7;39;52;94;12590;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707076;
